Descriptions,Value,Function Name
Start MM6 Measurement,31,SC_EA_trace_start
Set CAN/Flexray signal for SCM request to Not Initialized state ,29,SC_CA_write_can_signal
Wait PARAMETER Verification Phase + VALUE ms,70,SC_wait_ms
Stop MM6 Measurement,33,SC_EA_trace_stop
Read RB and CU failure memory,3,DCOM_read_and_eval_fcm_rb_cu
Reset the CAN/Flexray signals,29,SC_CA_write_can_signal
Set CAN/Flexray signal for SCM request to Front crash ,29,SC_CA_write_can_signal
Set vehicle speed = VALUE ph,38,SC_goto_target_speed
Read RB and CU memory,3,DCOM_read_and_eval_fcm_rb_cu
Set vehicle speed = VALUE kph,38,SC_goto_target_speed
NETLC = VALUE,56,SC_set_label
Create engine stall,8,GDCOM_set_Engine_speed
Wait VALUE ms,70,SC_wait_ms
Reset Engine stall condition ,7,GDCOM_reset_Engine_speed
Vehicle speed = xx m/s < NETLC m/s,38,SC_goto_target_speed
Apply brake pedal VALUE %,51,SC_set_brake
Apply accelerator pedal,48,SC_set_accelerator
Create ESP failure,16,GV_Create_failure
Reset vehicle speed to VALUE kph,38,SC_goto_target_speed
Reset ESP failure,20,GV_UNDO_failure
Create inlet valve line failure ,16,GV_Create_failure
Reset inlet valve line failure ,20,GV_UNDO_failure
CAN / Flexray signal - SCM counter varies periodically ,29,SC_CA_write_can_signal
Set CAN/Flexray signal - NETLC = None,29,SC_CA_write_can_signal
Create accelerator network message timeout failure,24,SC_CA_disable_messages
Reset accelerator network message timeout failure,25,SC_CA_enable_messages
SCM is available,23,Printing
Start MM6 and CAN/FLEXRAY Measurement,32,SC_EA_trace_start_and_net
Reset the checksum failure,20,GV_UNDO_failure
reset the SCM request NET signal,29,SC_CA_write_can_signal
Reset alive counter failure,20,GV_UNDO_failure
Set the DLC of SCM message from Airbag ecu = Current value - VALUE,46,SC_read_label
Reset Data corrupt failure,20,GV_UNDO_failure
Stop MM6 and CAN/FLEXRAY Measurement,34,SC_EA_trace_stop_and_net
Read RB and CU fault memory,3,DCOM_read_and_eval_fcm_rb_cu
Set the checksum of SCM message from Airbag ecu = VALUE during the verification phase,29,SC_CA_write_can_signal
Reset checksum failure,20,GV_UNDO_failure
Set Alive counter of SCM message from Airbag ecu = VALUE during the verification phase,46,SC_read_label
Reset alivecounter failure,20,GV_UNDO_failure
Disable the CAN/Flexray message from Airbag ECU during the verification phase,24,SC_CA_disable_messages
Enable the CAN/Flexray message from Airbag ECU,25,SC_CA_enable_messages
Reset the CAN/FLEXRAY signal,29,SC_CA_write_can_signal
ECU ON,36,SC_ecu_on
Set the DLC of SCM message from Airbag ecu = during the verification phase,46,SC_read_label
Enable the Node - Airbag ECU,25,SC_CA_enable_messages
Set CAN/Flexray signal for SCM request to Not Initialized state during the verification phase,29,SC_CA_write_can_signal
Wait for time NETLC,70,SC_wait_ms
Set CAN/Flexray signal for SCM request to Not Initialized state,29,SC_CA_write_can_signal
Set SCM counter = VALUE,56,SC_set_label
The above test step is to achieve SCM counter varies periodically ,29,SC_CA_write_can_signal
Create inlet valve line failure,16,GV_Create_failure
Set Vehicle speed to VALUE kph,38,SC_goto_target_speed
Apply brake pedal VALUE % within SCM maximal activation time - PARAMETER,51,SC_set_brake
Set CAN/Flexray signal for SCM request to NONE,29,SC_CA_write_can_signal
Wait until SCM is deactivated after reaching the SCM deactivation speed threshold,70,SC_wait_ms
Apply accelerator pedal more than the threshold,48,SC_set_accelerator
Set CAN/Flexray signal for SCM request to NONE ,29,SC_CA_write_can_signal
Ignition Off,41,SC_ignition_off
Wait until postrun time,70,SC_wait_ms
Wait VALUE s . Start MM6 Measurement,70,SC_wait_ms
Set the vehicle speed to VALUE kph,38,SC_goto_target_speed
"Reset the CAN/Flexray signals "" Set Ubatt = VALUE V """,29,SC_CA_write_can_signal
Read the DEFAULT value for the Tire Tolerance Compensation factor in the EEPROM,0,DCOM_GetEeprom
Set the Tire Tolerance Compensation factor in the EEPROM to VALUE ,5,DCOM_SetEeprom
Set Ubatt = VALUE V,59,SC_set_Ubatt
Perform DTC regulation ,56,SC_set_label
Wait till postrun,70,SC_wait_ms
Wait till ECU ready time,70,SC_wait_ms
Set the Tire Tolerance Compensation factor in the EEPROM to DEFAULT value ,5,DCOM_SetEeprom
Read RB and CU memory ,3,DCOM_read_and_eval_fcm_rb_cu
Set the NET signal for gear shift down to TRUE ,29,SC_CA_write_can_signal
Set the NET signal for gear shift down to FALSE ,29,SC_CA_write_can_signal
Make Gearbox qualifier invalid,56,SC_set_label
Set the NET signal for gear shift down to TRUE,29,SC_CA_write_can_signal
Set the NET signal for gear shift down to FALSE,29,SC_CA_write_can_signal
Enable NET message / Frame carrying the shutdown information . Background : When Gearbox pdu is not available then gearbox type will change to Manual estimation state,25,SC_CA_enable_messages
so we cannot view the gear box qualifier invalid . Hence to make gear box qualifier invalid WSS or ABS emergency brake is required ,51,SC_set_brake
Set mue = VALUE,57,SC_set_mue
Remove acceleration,48,SC_set_accelerator
Create negative mue jump,57,SC_set_mue
Release the brake pedal,51,SC_set_brake
Accelerate upto VALUE kph with mue = VALUE,49,SC_set_accelerator_and_mue
Create positive mue jump,57,SC_set_mue
Apply brake pedal to VALUE %,51,SC_set_brake
Perform regenerative braking ,51,SC_set_brake
Set all wheel speed = VALUE m/s,57,SC_set_wheel speeds_kmh
Set Wheel FL = VALUE m/s,56,SC_set_label
Release the stimuli,47,SC_release_stimuli_signal
Create Ax sensor range failure,16,GV_Create_failure
Perform VDC intervention,21,GV_VDC_maneuver
Create WSS FL line failure,16,GV_Create_failure
Reset WSS FL line failure,20,GV_UNDO_failure
Set Ignition OFF,41,SC_ignition_off
Wait VALUE ms + VALUE s,70,SC_wait_ms
Wait for VALUE s,70,SC_wait_ms
Set Ignition ON,43,SC_ignition_on
Wait Ecu ready time + VALUE s,70,SC_wait_ms
Create an Engine pdu Failure which makes NETLC to OFF state,16,GV_Create_failure
Reset the Engine failure,20,GV_UNDO_failure
NETLC = ON,56,SC_set_label
System = FullSystem,36,SC_ecu_on
Engine on,56,SC_set_label
Gear Type = Manual,55,SC_set_gear
Speed = VALUE km/h,38,SC_goto_target_speed
Start the measurement,31,SC_EA_trace_start
Accelerator pedal to VALUE %,48,SC_set_accelerator
Change the gear value to VALUE,55,SC_set_gear
Change the gear to VALUE,55,SC_set_gear
Stop the measurement,33,SC_EA_trace_stop
Disable the NET message / frame for the current gear status information,24,SC_CA_disable_messages
Enable the NET message / frame for the current gear status information,25,SC_CA_enable_messages
Perform ABS intervention,39,SC_goto_target_speed_and_mue
Reset the mue = VALUE,57,SC_set_mue
Create GMA intervention,64,SC_stimuli_signal_constant
Reset the environment to default mue,57,SC_set_mue
Set Vehicle speed = VALUE kph with manual gear VALUE,38,SC_goto_target_speed
Release the accelerator and Steer the vehicle to VALUE deg,48,SC_set_accelerator
Set Vehicle speed = VALUE kph with mue = VALUE,39,SC_goto_target_speed_and_mue
Steering the vehicle linearly upto VALUE degrees,58,SC_set_SteeringAngle
Release throttle position suddenly to VALUE %,48,SC_set_accelerator
Set the mue to VALUE,57,SC_set_mue
apply VALUE percent brake,51,SC_set_brake
Gear Type = Manual or automatic,55,SC_set_gear
Apply brake VALUE %,51,SC_set_brake
Wait till standstill,70,SC_wait_ms
Set accelerator = VALUE %,48,SC_set_accelerator
Set the Engine state to stall in the corresponding NET signal,29,SC_CA_write_can_signal
Full system availability,36,SC_ecu_on
Ign ON with Ubatt VALUE V,43,SC_ignition_on
Turn On the HDC function by pressing HDC button set the NET signal,17,GV_HDC_Button_ON
Drive off straight ahead with speed less than PARAMETER,38,SC_goto_target_speed
Release the throttle pedal completely ,48,SC_set_accelerator
Start measurement,31,SC_EA_trace_start
Set the slope greater than the value of PARAMETER ,64,SC_stimuli_signal_constant
Wait for VALUE sec,70,SC_wait_ms
Stop measurement,33,SC_EA_trace_stop
Set the steering angle sensor failure,58,SC_set_SteeringAngle
Set the Wheel speed sensor FL failure,58,SC_set_SteeringAngle
Turn the Ignition to OFF condition,41,SC_ignition_off
Turn the Ignition to ON condition,43,SC_ignition_on
Turn Ignition to Off condition ,41,SC_ignition_off
Press the HDC button,17,GV_HDC_Button_ON
Set the throttle position less than the parameter PARAMETER,48,SC_set_accelerator
Set the slope greater than the value of PARAMETER,64,SC_stimuli_signal_constant
Press Brake Pedal,51,SC_set_brake
HDC button pressed,17,GV_HDC_Button_ON
Set EEPROM value disc : HEX_VALUE,5,DCOM_SetEeprom
Set the steep slope greater than the value of PARAMETER,64,SC_stimuli_signal_constant
Wait till the brake temperature exceeds the parameter value,70,SC_wait_ms
Set EEPROM value of disc : HEX_VALUE,5,DCOM_SetEeprom
Press the brake pedal such that Vehicle speed comes to standstill ,54,SC_set_brake_and_wait
Release the brake pedal ,51,SC_set_brake
Full system,36,SC_ecu_on
"Drive off straight ahead above speed PARAMETER m/s + VALUE s , where x range from VALUE to VALUE corresponding to the warning level set",38,SC_goto_target_speed
Drive off straight ahead above speed PARAMETER m/s,38,SC_goto_target_speed
Set NET NETLC to Zero,29,SC_CA_write_can_signal
Set NET NETLC to Active,29,SC_CA_write_can_signal
Create Bls failure,16,GV_Create_failure
Read Bosch and CU Failure memory,3,DCOM_read_and_eval_fcm_rb_cu
Create pressure sensor Line Failure,16,GV_Create_failure
Create Ay Failure ,16,GV_Create_failure
Set Brake pedal to VALUE %,51,SC_set_brake
wait VALUE sec,70,SC_wait_ms
velocity : VALUE km/h,38,SC_goto_target_speed
Force Bls to be always VALUE and Bs to be always VALUE . Reason for manipulation : poor > VALUE bar without brake light switch,51,SC_set_brake
Apply Brake pressure of VALUE % ,51,SC_set_brake
After approx . VALUE s stop braking,51,SC_set_brake
Set Pressure sensor MC1 offset = VALUE bar using signal manipulation,64,SC_stimuli_signal_constant
Drive off with VALUE kph untill offset compensation is completed,40,SC_goto_target_speed_and_wait
After that add MC1 offset = VALUE bar using signal manipulation,64,SC_stimuli_signal_constant
drive off untill fault is detected,38,SC_goto_target_speed
Set Pressure sensor BC1 FR offset = VALUE bar using signal manipulation,64,SC_stimuli_signal_constant
After that Set BC1 offset = VALUE bar using signal manipulation,64,SC_stimuli_signal_constant
Set Pressure sensor BC2 FL offset = VALUE bar using signal manipulation,64,SC_stimuli_signal_constant
After that Set BC2 offset = VALUE bar using signal manipulation,64,SC_stimuli_signal_constant
Set Pressure sensor BC2 RL offset = VALUE bar using signal manipulation,64,SC_stimuli_signal_constant
plug off NETLC from manipulation box,64,SC_stimuli_signal_constant
drive off with VALUE kph until NETLC > = VALUE and fault is detected,38,SC_goto_target_speed
Make the vehicle to standstill,38,SC_goto_target_speed
Vehicle standstill,38,SC_goto_target_speed
CRB available and Full system,36,SC_ecu_on
Mue - default,57,SC_set_mue
Set Vehicle speed - VALUE kph,38,SC_goto_target_speed
Set Accelerator pedal - VALUE %,48,SC_set_accelerator
Set brake - VALUE %,51,SC_set_brake
Set Mue - VALUE,57,SC_set_mue
Wait till vehicle reaches to standstill,70,SC_wait_ms
Release brake pedal and reset mue to default,53,SC_set_brake_and_mue
"Set Split Mue FA - VALUE , RA - VALUE",57,SC_set_mue
Ubatt = default,59,SC_set_Ubatt
Stand still,38,SC_goto_target_speed
CRB should be available and Full system,36,SC_ecu_on
SteeringAngle = VALUE degree,58,SC_set_SteeringAngle
Make sure Slope = VALUE % ,64,SC_stimuli_signal_constant
Mue = VALUE,57,SC_set_mue
Start ECU Trace,31,SC_EA_trace_start
Set Gear to Drive mode,55,SC_set_gear
Set Steering angle to VALUE deg the steering wheel angle,58,SC_set_SteeringAngle
Wait till vehicle reaches to standstill Stop ECU Trace Read RB,70,SC_wait_ms
Remove all manipulations,67,SC_undo_manipulation
Wait till vehicle speed reaches to VALUE kph,70,SC_wait_ms
"Set Accelerator pedal = VALUE % , SteeringAngle = VALUE degree",48,SC_set_accelerator
Wait VALUE second Stop ECU Trace SteeringAngle = VALUE degree Read RB,70,SC_wait_ms
Set Steering angle in direction max gradient is VALUE deg/s,58,SC_set_SteeringAngle
"Release brake pedal and reset mue to default , Steering angle",51,SC_set_brake
SW parameter NETLC should be true,56,SC_set_label
"Set the signal NETLC = VALUE , VALUE * NETLC",56,SC_set_label
Activate AEB with deceleration target VALUE m/s2,29,SC_CA_write_can_signal
Reset the AEB activation,29,SC_CA_write_can_signal
Set Accelerator pedal = VALUE % and NETLC = VALUE NM,48,SC_set_accelerator
Wait VALUE second,70,SC_wait_ms
Set NETLC = VALUE Nm,56,SC_set_label
Set Accelerator pedal = VALUE % and Regen potential = VALUE NM,48,SC_set_accelerator
Set AVH request,14,GV_AVH_activation
Set NETLC = True,56,SC_set_label
Stop ECU Trace,33,SC_EA_trace_stop
Remove all manipulations and speed to VALUE kph,68,SC_undo_manipulation_and_speed
Set corr - VALUE,56,SC_set_label
Set Gear = Neutral,55,SC_set_gear
Reset the manipulation including corr,67,SC_undo_manipulation
Perform NETLC,56,SC_set_label
Reset NETLC,56,SC_set_label
Set parameter - NETLC = true,56,SC_set_label
Set Gear = N,55,SC_set_gear
Wait less than NETLC - VALUE s,70,SC_wait_ms
Set Gear = D,55,SC_set_gear
Set Mue - default,57,SC_set_mue
Remove all manipulations and mue to default,68,SC_undo_manipulation_and_speed
Wait,70,SC_wait_ms
Regen potential = VALUE NM before time NETLC,56,SC_set_label
Set the rear axle pressure greater than pMC,56,SC_set_label
Set CRB failure,16,GV_Create_failure
This test is applicable for ESPHevX with iBooster only,23,Printing
Activate CDP by pressing APB button to apply,11,GV_apb_apply
Activate AEB with high pressure request,11,GV_apb_apply
Reset the simulation of APB button and EBR,13,GV_apb_release
"Set brake - VALUE % , Accelerator - VALUE %",52,SC_set_brake_and_acc
Release the brake,51,SC_set_brake
Set the parameter NETLC - VALUE N,56,SC_set_label
Set the parameter corr - VALUE,56,SC_set_label
Ramp the brake from VALUE - VALUE %,51,SC_set_brake
Vehicle speed - VALUE kph,38,SC_goto_target_speed
Set Slope ax = VALUE %,64,SC_stimuli_signal_constant
Activate AVH,15,GV_AVH_switch_Request
Set Voltage - Undervoltage V,59,SC_set_Ubatt
Release brake,51,SC_set_brake
Release brake pedal and reset voltage to normal,51,SC_set_brake
Create PTS failure,16,GV_Create_failure
Release brake pedal and reset PTS failure,51,SC_set_brake
NETLC = VALUE Kph,38,SC_goto_target_speed
Brake with NETLC Target = VALUE Nm,51,SC_set_brake
Set the signal NETLC = VALUE Nm,56,SC_set_label
"release brake , Do not reset NETLC signal",51,SC_set_brake
Ignition OFF and ECU Sleep,35,SC_ecu_off
Accelerate to VALUE km/h,48,SC_set_accelerator
"release brake , Reset NETLC signal",51,SC_set_brake
Do not Brake,51,SC_set_brake
"Read CU and RB failure memory , NVM data of EPM counter",3,DCOM_read_and_eval_fcm_rb_cu
Brake with NETLC = VALUE Nm,51,SC_set_brake
Set the signal netlc wheel FA = VALUE Nm,56,SC_set_label
"release brake , Reset netlc wheel FA signal",51,SC_set_brake
Read CU failure,1,DCOM_read_and_eval_fcm_cu
"RB failure memory with debug data , NVM data of EPM counter",2,DCOM_read_and_eval_fcm_rb
Stop Measurement ,33,SC_EA_trace_stop
"Read CU failure , RB failure memory",3,DCOM_read_and_eval_fcm_rb_cu
Set the signal NETLC Wheel RA = VALUE Nm,56,SC_set_label
"release brake , Reset NETLC Wheel RA signal",51,SC_set_brake
"Brake with NETLC , NETLC = VALUE Nm",51,SC_set_brake
"Set the signal netlc wheel FA = VALUE Nm , netlc wheel ra = VALUE Nm",56,SC_set_label
"release brake , Reset netlc wheel FA , netlc wheel ra signal",51,SC_set_brake
"Brake with NETLC = VALUE Nm , NETLC = VALUE Nm",51,SC_set_brake
"Set NETLC = VALUE Nm , NETLC = VALUE Nm",56,SC_set_label
Accelerate speed above PARAMETER m/s Reached,48,SC_set_accelerator
Set Accelerator Pedal Pos to VALUE %,48,SC_set_accelerator
Activate Lower Pressure Profile VAF,64,SC_stimuli_signal_constant
Stop Measurement NOTE : - ABP Activation ,33,SC_EA_trace_stop
speed should be above PARAMETER m/s,38,SC_goto_target_speed
Set NET signal ABP Prefill Request to Active,29,SC_CA_write_can_signal
Enable EBP Function,22,LC_ABP_SET
Activate Higher Pressure Profile VAF,56,SC_set_label
Create Ays Failure,16,GV_Create_failure
Set the MOT Pedal Message Cycle Time VALUE ms,56,SC_set_label
Test Procedure for CAN ,29,SC_CA_write_can_signal
Test Procedure for FLEXRAY ,37,SC_FR_write_flxr_signal
Disable MOT Pedal Message PDU,24,SC_CA_disable_messages
purpose : Message Counter Incrementation Check Every VALUE ms task time,46,SC_read_label
Stop Measurement Test Procedure for FLEXRAY ,33,SC_EA_trace_stop
Set Ubatt VALUE V,59,SC_set_Ubatt
HFC available,23,Printing
Set Brake Pad calibration value as VALUE for FL wheel,51,SC_set_brake
Drive with vehicle speed greater than PARAMETER m/s,38,SC_goto_target_speed
Release the accelerator,48,SC_set_accelerator
Apply brake pressure greater than PARAMETER bar to trigger HFC function,51,SC_set_brake
Set Brake Pad calibration value as VALUE for FR wheel,56,SC_set_label
Set Brake Pad calibration value as VALUE for RL wheel,56,SC_set_label
Set Brake Pad calibration value as VALUE for RR wheel,56,SC_set_label
Brake Pad calibration value = VALUE in all wheels,56,SC_set_label
Keep the brake pedal pressed until vehicle comes to standstill,51,SC_set_brake
Start measurement ,31,SC_EA_trace_start
HRB available,23,Printing
Create Ay sensor Failure ,16,GV_Create_failure
Vehicle in Standstill,38,SC_goto_target_speed
Start NET measurement ,18,GV_NET_trace_start
Stop NET measurement ,19,GV_NET_trace_stop
"Full system , Vehicle in Standstill",36,SC_ecu_on
Start ECU measurement,31,SC_EA_trace_start
Stop ECU measurement,33,SC_EA_trace_stop
Set Net receive signal to a fixed value,29,SC_CA_write_can_signal
Start NET & ECU measurement,32,SC_EA_trace_start_and_net
Change Net receive signal value,29,SC_CA_write_can_signal
Stop NET & ECU measurement,29,SC_CA_write_can_signal
Configure LC_INFO frames,26,SC_CA_get_can_signal_info
wait untill ECU ready time + VALUE s,70,SC_wait_ms
Stop NET measurement,19,GV_NET_trace_stop
Disable all RX frames,24,SC_CA_disable_messages
Start NET measurement,18,GV_NET_trace_start
Disable all CAN frame from the model,24,SC_CA_disable_messages
Enable the anyone Can message in bus ,25,SC_CA_enable_messages
Enable the configured Can message in bus ,28,SC_CA_read_configure
Send a not configured Can message in bus ,28,SC_CA_read_configure
Enable the configured Can message with right payload in bus ,29,SC_CA_write_can_signal
Enable the configured Can message with wrong payload in bus ,29,SC_CA_write_can_signal
Enable the non configured Can message with right payload in bus ,29,SC_CA_write_can_signal
Interrupt the CAN line,44,SC_interrupt_lines
Reset the CAN interrupt,66,SC_undo_interrupt_lines
read the faults,2,DCOM_read_and_eval_fcm_rb
Create CAN time out failure,24,SC_CA_disable_messages
Send a VALUE byte Can message in ID HEX_VALUE O in bus ,29,SC_CA_write_can_signal
Reset the CAN message,29,SC_CA_write_can_signal
Send a VALUE byte Can message in ID HEX_VALUE in bus ,29,SC_CA_write_can_signal
Short CAN-H line and CAN-L line,61,SC_short_lines
Wait VALUE s and undo the short line,70,SC_wait_ms
Short CAN-H line and GRND,61,SC_short_lines
Short CAN-L and UBATT,61,SC_short_lines
Short CAN-H line and UBATT,61,SC_short_lines
Short CAN-L line and GRND,61,SC_short_lines
Set Net static receive signal to a fixed value,29,SC_CA_write_can_signal
Change Net static receive signal value,29,SC_CA_write_can_signal
Reset the Net receive signal,29,SC_CA_write_can_signal
Send a dynamic frame with a specified value,29,SC_CA_write_can_signal
change the value in the dynamic frame,29,SC_CA_write_can_signal
Reset the dynamic frame signal value,29,SC_CA_write_can_signal
Full system with Vehicle in Standstill,36,SC_ecu_on
"Ign ON , Ubatt VALUE V",36,SC_ecu_on
"Switch ignition ON , Ubatt default VALUE V",36,SC_ecu_on
wait until ECU ready time + VALUE s,70,SC_wait_ms
Full system and vehicle in Standstill,36,SC_ecu_on
Switch ignition off,43,SC_ignition_on
Enable Flexray communication from the test bench,25,SC_CA_enable_messages
Wait till ECU ready time + VALUE s,70,SC_wait_ms
interrupt Flexray line,44,SC_interrupt_lines
Reset the Fault simulation,69,SC_undo_short_lines
Setup Flexray engine with correct baudrate,56,SC_set_label
Create LIN time out failure,24,SC_CA_disable_messages
Switch ignition ON,43,SC_ignition_on
Send a Wakeup over KL15,56,SC_set_label
Wait till Repeat message time configured in the project,70,SC_wait_ms
Remove the Wake up trigger KL15,56,SC_set_label
Enable the configured Can message in bus,29,SC_CA_write_can_signal
Remove the Wake up trigger,56,SC_set_label
Remove the KL15 and all Wakeup requests,56,SC_set_label
Wait till NM Timeout timer configured in the project,70,SC_wait_ms
Wait till Bus sleep timer configured in the project ,70,SC_wait_ms
Wait till NM Timeout timer,70,SC_wait_ms
Set KL15 before Bus Sleep Timer expired ,56,SC_set_label
Wait till Repeat message time / VALUE,70,SC_wait_ms
Set CAN Wakeup before Bus Sleep Timer expired ,56,SC_set_label
Set Repeat Message Bit,29,SC_CA_write_can_signal
Wait till FR synchronize,70,SC_wait_ms
Send a Wakeup over by Flexray signal,29,SC_CA_write_can_signal
Block the synchronized of the FR - Shortcut the flexray line,61,SC_short_lines
Create Flexray time out failure,24,SC_CA_disable_messages
Shortcut Flexray line,61,SC_short_lines
Read the RB and CU failure memory,3,DCOM_read_and_eval_fcm_rb_cu
Set Battery voltage > VALUE v,59,SC_set_Ubatt
Create a timeout failure,24,SC_CA_disable_messages
Wait until Failure detection time + VALUE cycle time is reached,70,SC_wait_ms
Reset the timeout failure,25,SC_CA_enable_messages
Set the voltage to default value ,59,SC_set_Ubatt
Wait until Failure Recovery time + VALUE s,70,SC_wait_ms
Create the same timeout failure,24,SC_CA_disable_messages
Set Battery voltage < VALUE v,59,SC_set_Ubatt
Set the voltage to default value,59,SC_set_Ubatt
Reset the Battery voltage,59,SC_set_Ubatt
NETLC is on,56,SC_set_label
Create a Bus failure,24,SC_CA_disable_messages
Remove the bus failure,25,SC_CA_enable_messages
Stimulate an ignition cycle,64,SC_stimuli_signal_constant
Create a timeout failure which has the undervoltage as storage condition,24,SC_CA_disable_messages
Wait until Failure Recovery time + VALUE s and delete the fault memory,70,SC_wait_ms
Read the RB and CU failure memory ,3,DCOM_read_and_eval_fcm_rb_cu
Create the same timeout failure with storage condition,24,SC_CA_disable_messages
Set a net failure,29,SC_CA_write_can_signal
Wait until Failure detection time + VALUE cycle time ,70,SC_wait_ms
Remove the failure manipulation,67,SC_undo_manipulation
Set the same net failure,29,SC_CA_write_can_signal
Reset the failure,20,GV_UNDO_failure
Wait till software initialization,70,SC_wait_ms
Create NETLC failure,16,GV_Create_failure
Enable ABP Function,22,LC_ABP_SET
Make sure Speed is above PARAMETER m/s,38,SC_goto_target_speed
Set NET ABP Prefill Request to Active,29,SC_CA_write_can_signal
Activate Higher Pressure Profile VAF ,56,SC_set_label
Create Ay Range Failure ,16,GV_Create_failure
Drive straight,38,SC_goto_target_speed
Drive the vehicle on a flat track with constant vehicle speed VALUE km/h,38,SC_goto_target_speed
Start the NETLC,31,SC_EA_trace_start
Release acceleration pedal,48,SC_set_accelerator
set gear type to N,55,SC_set_gear
Wait for VALUE ms,70,SC_wait_ms
Stop NETLC,33,SC_EA_trace_stop
Drive the vehicle on a rising slope track of VALUE % with constant vehicle speed VALUE km/h,38,SC_goto_target_speed
Brake till VALUE km/h,51,SC_set_brake
Brake till VALUE km/h with a higher brake force but no ABS is active,51,SC_set_brake
Set gear box to manual transmission,55,SC_set_gear
Drive the vehicle on a flat track with constant vehicle speed VALUE km/h in 2nd gear level,38,SC_goto_target_speed
Accelerate till VALUE km/h with a low acceleration and without gear level change,48,SC_set_accelerator
Accelerate till VALUE km/h with a higher acceleration,48,SC_set_accelerator
without gear level change and without VDC interventions,55,SC_set_gear
Accelerate till VALUE km/h with a high acceleration,48,SC_set_accelerator
Check wheel drive torque of all wheels,46,SC_read_label
apply brake pedal to VALUE % to set NETLC to active,51,SC_set_brake
Check wheel drive torque of all wheels between VALUE ms and VALUE ms after NETLC is active,46,SC_read_label
Drive the vehicle on a flat high mue track with constant vehicle speed VALUE km/h,38,SC_goto_target_speed
